GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,IgnoreProcessorValidator,48,0,6,0,11,0,5,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,TestValidator,52,17,4,4,6,5,4,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,RuleValidator,52,18,4,4,5,5,4,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,ParametersProcessorValidator,188,0,16,0,33,0,9,0,1,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,ParameterValidator,39,17,3,3,6,5,3,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,ParameterProcessorValidator,91,0,8,0,15,0,6,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,ParametersValidator,52,17,4,4,8,5,4,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,RuleProcessorValidator,186,0,16,0,32,0,9,0,1,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl.validator,TestProcessorValidator,104,0,10,0,19,0,7,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.surefire,PowerUnitProviderListener,0,126,0,0,0,32,0,8,0,8
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.surefire,PowerUnitProviderScannerFilter,0,98,0,8,0,16,0,6,0,2
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.surefire,PowerUnitProvider,5,96,1,5,1,27,1,5,0,3
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,AssertThatIterable,30,0,0,0,12,0,6,0,6,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,Assert,38,47,0,0,7,7,6,7,6,7
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,AssertThatObject,15,13,0,0,6,6,3,3,3,3
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,TestSuite,34,25,0,0,8,6,8,4,8,4
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,TestSuite.new TestSuite() {...},0,3,0,0,0,1,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,TestRule,0,17,0,0,0,5,0,5,0,5
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,Assume,66,13,0,0,11,2,10,2,10,2
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,Matchers,450,20,0,0,146,5,113,5,113,5
Powerunit - Java Testing framework for JDK 1.8,org.powerunit,Statement,0,39,0,0,0,11,0,4,0,4
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.processor,PowerUnitProcessor,499,0,28,0,135,0,20,0,6,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.exception,InternalError,9,0,0,0,4,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.exception,AssumptionError,0,4,0,0,0,2,0,1,0,1
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalIntMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalDoublePresentMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalLongMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalPresentMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalDoubleMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalMatcher,9,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalLongPresentMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,ExceptionMessageMatcher,0,9,0,0,0,3,0,2,0,2
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.matchers,OptionalIntPresentMatcher,10,0,0,0,3,0,2,0,2,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl,DefaultPowerUnitRunnerImpl,138,388,14,20,14,107,13,23,1,18
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl,TestContextImpl,9,60,0,2,3,12,3,5,3,4
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl,AssertThatIterableImpl,6,0,0,0,2,0,1,0,1,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl,AssertThatObjectImpl,18,77,2,6,0,18,2,4,0,2
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.impl,AssertThatExceptionImpl,66,28,7,1,6,10,4,2,0,2
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.rules,TemporaryFolder,79,0,6,0,19,0,10,0,7,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.rules,TestContextRule,0,12,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.rules,ExternalResource,8,0,0,0,6,0,4,0,4,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.rules,TestListenerRule,9,0,0,0,6,0,6,0,6,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.rules,SystemPropertiesRule,92,0,6,0,17,0,8,0,5,0
Powerunit - Java Testing framework for JDK 1.8,org.powerunit.helpers,StreamParametersMapFunction,85,0,6,0,22,0,8,0,5,0
